('hl_w', [[21, 57, 6, 14], [34, 65]])
('hrm', [[41, 39, 2, 16], [33, 66]])
('hq_n', [[30, 45, 6, 17], [39, 60]])
('hbtm', [[40, 51, 0, 7], [29, 70]])
('hnTy', [[30, 69, 0, 0], [30, 69]])
('hnS', [[36, 49, 1, 12], [43, 56]])
('hw_k', [[25, 46, 4, 23], [25, 74]])
('hdm', [[37, 43, 4, 14], [37, 62]])
('hdn', [[18, 70, 2, 10], [34, 65]])
('hd!', [[10, 53, 3, 32], [14, 85]])
('hd_d', [[54, 45, 0, 0], [27, 72]])
('lagS', [[22, 50, 11, 16], [26, 73]])
('lly', [[59, 27, 4, 8], [42, 57]])
('lHs', [[56, 30, 4, 8], [8, 91]])
('lmm', [[33, 44, 11, 11], [30, 70]])
('lmd', [[43, 34, 7, 14], [34, 65]])
('lm_n', [[22, 51, 11, 14], [22, 77]])
('lqq', [[29, 48, 1, 20], [29, 70]])
('lq_H', [[15, 61, 4, 18], [37, 62]])
('lbs', [[31, 35, 6, 25], [34, 65]])
('lbw', [[40, 45, 0, 15], [32, 67]])
('l!k', [[38, 41, 3, 17], [41, 58]])
('lwy', [[18, 54, 9, 18], [63, 36]])
('lw_T', [[23, 57, 5, 13], [31, 68]])
('l`l', [[41, 39, 5, 14], [38, 61]])
('lzb', [[9, 57, 0, 33], [4, 95]])
('lgs', [[41, 35, 5, 17], [35, 64]])
('lg_b', [[24, 27, 8, 40], [39, 60]])
('lT_f', [[23, 30, 3, 42], [30, 69]])
('Hlm', [[29, 56, 1, 12], [39, 60]])
('Hlf', [[39, 41, 2, 16], [42, 57]])
('Hmxx', [[23, 47, 11, 17], [23, 76]])
('Hmbs', [[27, 63, 0, 9], [54, 45]])
('Hrr', [[48, 35, 0, 16], [44, 55]])
('Hrs', [[27, 52, 4, 15], [32, 67]])
('Hrq', [[27, 52, 0, 19], [40, 59]])
('Hry', [[34, 43, 5, 17], [35, 64]])
('Hrd', [[31, 50, 3, 13], [39, 60]])
('Hsb', [[33, 46, 8, 11], [39, 60]])
('Hs_w', [[14, 47, 0, 38], [41, 58]])
('Hqq', [[19, 65, 0, 15], [42, 57]])
('HqWn', [[36, 36, 13, 13], [21, 78]])
('HqWf', [[35, 35, 1, 27], [35, 64]])
('Hbr', [[44, 27, 0, 27], [28, 71]])
('Hb!', [[26, 47, 0, 25], [23, 76]])
('Hb_r', [[33, 42, 6, 16], [30, 69]])
('Htm', [[41, 38, 1, 18], [41, 58]])
('Htt', [[36, 46, 3, 12], [36, 63]])
('Hkk', [[18, 65, 3, 12], [27, 72]])
('Hk_m', [[19, 44, 2, 34], [25, 74]])
('HkWr', [[35, 55, 0, 10], [45, 55]])
('Hw_s', [[40, 32, 5, 21], [38, 61]])
('Hw_y', [[34, 26, 30, 10], [18, 81]])
('Hdr', [[36, 46, 3, 13], [33, 66]])
('Hdg', [[29, 36, 8, 25], [25, 74]])
('Hd_s', [[29, 48, 3, 18], [33, 66]])
('Hg_z', [[24, 56, 6, 12], [29, 70]])
('HgW_s', [[52, 39, 0, 7], [32, 67]])
('HC_C', [[50, 33, 8, 8], [33, 66]])
('HSr', [[42, 29, 3, 24], [37, 62]])
('HSb', [[20, 51, 1, 25], [23, 76]])
('HSy', [[26, 40, 13, 20], [20, 79]])
('Hfs', [[22, 64, 1, 11], [42, 57]])
('marr', [[28, 53, 3, 14], [34, 65]])
('mark', [[26, 35, 8, 29], [42, 57]])
('masy', [[9, 57, 28, 4], [13, 86]])
('mhr', [[25, 56, 5, 12], [35, 64]])
('mhz', [[34, 46, 6, 14], [40, 59]])
('mls', [[40, 39, 5, 13], [27, 72]])
('ml!', [[31, 45, 1, 21], [35, 64]])
('mlk', [[23, 59, 4, 12], [35, 64]])
('mlkt', [[25, 55, 7, 10], [50, 49]])
('ml_s', [[27, 49, 9, 12], [25, 74]])
('mHl', [[34, 28, 2, 34], [34, 65]])
('mHr', [[32, 50, 7, 9], [28, 71]])
('mHw', [[9, 38, 4, 47], [27, 72]])
('mHdr', [[6, 84, 4, 5], [46, 53]])
('mHSn', [[27, 51, 0, 20], [18, 81]])
('mmy', [[32, 36, 18, 12], [18, 81]])
('mrH', [[17, 59, 6, 15], [30, 69]])
('mrmr', [[19, 54, 8, 17], [18, 81]])
('mrkWs', [[29, 59, 0, 10], [47, 52]])
('mr`w', [[22, 52, 10, 14], [25, 74]])
('mrS', [[43, 39, 5, 11], [46, 53]])
('mr_q', [[29, 38, 5, 26], [24, 75]])
('msl', [[20, 58, 3, 17], [34, 65]])
('msrt', [[34, 46, 3, 15], [40, 59]])
('mskr', [[31, 44, 8, 15], [40, 59]])
('msgn', [[28, 38, 15, 16], [19, 80]])
('mxmx', [[33, 44, 5, 16], [44, 55]])
('mql', [[26, 32, 9, 31], [20, 79]])
('mn_y', [[24, 57, 14, 4], [25, 74]])
('mkr', [[18, 54, 4, 22], [26, 73]])
('mkk', [[10, 70, 5, 15], [25, 75]])
('mwt', [[29, 36, 19, 13], [30, 69]])
('m`ry', [[58, 33, 0, 8], [7, 92]])
('m`bl', [[35, 46, 1, 16], [45, 54]])
('mzn', [[16, 56, 8, 18], [26, 73]])
('mz_z', [[46, 19, 4, 29], [41, 58]])
('myT', [[20, 64, 8, 6], [18, 81]])
('md_b', [[43, 30, 5, 20], [37, 62]])
('mg_b', [[16, 53, 23, 6], [31, 68]])
('mTT', [[11, 52, 0, 35], [10, 89]])
('mS!', [[46, 32, 2, 17], [39, 60]])
('mSy', [[38, 46, 7, 7], [36, 63]])
('m|brkk', [[20, 52, 0, 26], [28, 71]])
