('SHtr', [[20, 60, 0, 20], [33, 66]])
('Hzl', [[16, 27, 0, 55], [27, 72]])
('Hzn', [[44, 34, 3, 17], [38, 61]])
('xyw', [[70, 0, 30, 0], [20, 80]])
('qm_s', [[72, 9, 0, 18], [45, 54]])
('Hzy', [[14, 61, 19, 4], [37, 62]])
('Hzz', [[10, 70, 20, 0], [40, 60]])
('nys', [[16, 25, 50, 8], [0, 100]])
('mwq', [[25, 66, 0, 8], [42, 57]])
('mww', [[10, 10, 80, 0], [0, 100]])
('nwS', [[28, 50, 6, 15], [28, 71]])
('mwy', [[10, 78, 5, 5], [52, 47]])
('!b_!', [[9, 0, 81, 9], [0, 100]])
('bayt', [[0, 0, 100, 0], [0, 100]])
('mwl', [[0, 81, 18, 0], [52, 47]])
('fr_y', [[10, 30, 60, 0], [41, 58]])
('Hz!', [[15, 50, 5, 30], [35, 65]])
('`x_w', [[11, 46, 15, 26], [21, 78]])
('wg_H', [[38, 19, 19, 23], [9, 90]])
('tyb', [[35, 17, 47, 0], [16, 83]])
('sr_H', [[0, 90, 9, 0], [30, 69]])
('sly', [[56, 12, 28, 2], [4, 95]])
('wg_n', [[26, 39, 10, 23], [20, 79]])
('!b_s', [[68, 0, 12, 18], [18, 81]])
('sr_z', [[20, 51, 7, 20], [25, 74]])
('sr_y', [[28, 44, 24, 4], [11, 88]])
('!b_y', [[0, 5, 94, 0], [0, 100]])
('sr_r', [[18, 37, 6, 37], [18, 81]])
('wg_`', [[30, 40, 20, 10], [16, 83]])
('sw!', [[50, 50, 0, 0], [42, 57]])
('!b_d', [[31, 37, 18, 12], [12, 87]])
('st_y', [[21, 57, 21, 0], [7, 92]])
('wg_y', [[11, 62, 22, 2], [24, 75]])
('sr_b', [[18, 0, 63, 18], [9, 90]])
('sr_`', [[0, 100, 0, 0], [46, 53]])
('Hx_y', [[39, 52, 3, 3], [25, 75]])
('Hz_n', [[52, 11, 13, 22], [22, 77]])
('Hz_l', [[18, 12, 6, 62], [25, 75]])
('ly_y', [[0, 26, 66, 6], [0, 100]])
('mSw', [[10, 80, 10, 0], [25, 75]])
('Tay_s', [[39, 39, 4, 17], [44, 55]])
('TTq', [[0, 40, 20, 40], [0, 100]])
('Tay_q', [[45, 45, 9, 0], [15, 84]])
('Sm_!', [[10, 10, 30, 50], [10, 90]])
('Hx_w', [[5, 52, 0, 41], [70, 29]])
('!trr', [[16, 0, 8, 75], [0, 100]])
('kstw', [[0, 27, 0, 72], [66, 33]])
('Hz_y', [[15, 31, 52, 0], [15, 84]])
('Hx_n', [[14, 85, 0, 0], [28, 71]])
('SbH', [[36, 9, 45, 9], [6, 93]])
('Hz_t', [[0, 100, 0, 0], [10, 90]])
('sgW_gW', [[33, 50, 0, 16], [33, 66]])
('TTf', [[0, 61, 38, 0], [47, 52]])
('Sw_y', [[25, 55, 18, 0], [27, 72]])
('Sbq', [[40, 22, 0, 37], [21, 78]])
('bgss', [[0, 100, 0, 0], [38, 61]])
('gl!', [[15, 0, 0, 84], [0, 100]])
('mlsy', [[9, 36, 45, 9], [15, 84]])
('mSS', [[1, 94, 0, 3], [23, 76]])
('bgsy', [[69, 23, 7, 0], [33, 66]])
('Sw_t', [[76, 0, 23, 0], [7, 92]])
('Sbb', [[40, 28, 6, 25], [17, 82]])
('qWS_r', [[0, 80, 20, 0], [50, 50]])
('TTH', [[16, 43, 6, 33], [26, 73]])
('qWS_y', [[17, 47, 23, 11], [15, 84]])
('Sw_g', [[14, 35, 14, 35], [18, 81]])
('Sw_d', [[64, 7, 0, 28], [64, 35]])
('Sm_m', [[31, 28, 3, 37], [15, 84]])
('ws!', [[18, 57, 7, 15], [24, 75]])
