2336	8	አላጋ	ለጋ	5	m	1	0	TWO_2	11111111/11111111	11111111/11111111	1	1	1	1	1	11111111/11111111	11111111/11111111	11111111/00000000	00111000/00111000	11111111/00000000	
2337	50	አራባ	ረባ	5	m	1	0	TWO_1													
2338	68	አሳላ	ሰላ	5	m	1	0	TWO_1													
2339	70	አሳማ	ሰማ	5	m	1	0	TWO_1													
2340	75	አሳካ	ሰካ	5	m	1	0	TWO_2													
2341	112	አቃማ	ቀማ	5	m	1	0	TWO_2													
2342	150	አባሰ	ባሰ	5	m	1	0	TWO_6													
2343	144	አባቃ	በቃ	5	m	1	0	TWO_1													
2344	145	አባዛ	በዛ	5	m	1	0	TWO_1													
2345	178	አናካ	ነካ	5	m	1	0	TWO_1													
2346	181	አናጋ	ነጋ	5	*	1	0	TWO_1													
2347	185	አናጨ	ነጨ	5	m	1	0	TWO_3													
2348	229	አዋራ	ወራ	5	*	1	0	TWO_1													
2349	235	አዋጋ	ወጋ	5	m	1	0	TWO_1													
2350	236	አዋጣ	ወጣ	5	m	1	0	TWO_1													
2351	251	አዛባ	ዘባ	5	m	1	0	TWO_1													
2352	262	አዳላ	ደላ	5	*	1	0	TWO_1													
2353	264	አዳማ	ደማ	5	m	1	0	TWO_1													
2354	271	አዳፋ	ደፋ	5	m	1	0	TWO_1													
2355	291	አጋባ	ገባ	5	m	1	0	TWO_1													
2356	295	አጋጨ	ገጨ	5	m	1	0	TWO_3													
2357	296	አጋፋ	ገፋ	5	m	1	0	TWO_1													
2358	321	አጣላ	ጠላ	5	m	1	0	TWO_1													
2359	324	አጣራ	ጠራ	5	m	1	0	TWO_1													
2360	337	አጣጋ	ጠጋ	5	*	1	0	TWO_1													
2361	339	አጣፋ	ጠፋ	5	m	1	0	TWO_1													
2362	382	አፋታ	ፈታ	5	m	1	0	TWO_1													
2363	384	አፋጀ	ፈጀ	5	m	1	0	TWO_3													
7062	1	አካሄደ	ሄደ	5	m	1	0	TWO_13	11111111	11111111	1	1	1	1	1				5		
2364	404	አላመደ	ለመደ	5	m	1	0	THREE_1	11111111/11111111	11111111/11111111	1	1	1	1	1	66666666/11111111	33333333/11111111	66666666/11111111	00666000/00111000	44444444/11111111	caused to get used to each other
2365	410	አላቀሰ	ለቀሰ	5	*	1	0	THREE_1	11111111/11111111	11111111/11111111	1	1	1	1	1	66666666/11111111	33333333/11111111	66666666/11000111	00666000/00111000	44444444/11111111	
2366	411	አላቀቀ	ለቀቀ	5	m	1	0	THREE_1	11111111/11111111	11111111/11111111	1	1	1	1	1	66666666/11111111	33333333/11111111	66666666/00000000	00666000/00111000	44444444/11111111	
2367	418	አላተመ	ለተመ	5	m	1	0	THREE_2	11111111/11111111	11111111/11111111	1	1	1	1	1	66666666/11111111	33333333/00000000	22222222/00000000	00222000/00000000	44444444/00000000	
2368	422	አላከፈ	ለከፈ	5	m	0	0	THREE_1	11111111/11111111	00000111/00000111	0	0	1	1	1	66666666/11111111	33333333/11111111	66666666/11111111	00666000/00111000	44444444/11111111	
2369	423	አላኮሰ	ለኮሰ	5	m	1	0	THREE_10	11111111/11111111	11111111/11111111	1	1	1	1	1	99999999/11111111	33333333/11111111	77777777/00000000	00777000/00111000	55555555/11111111	
2370	428	አላወጠ	ለወጠ	5	m	0	0	THREE_2	11111111/11111111	11111111/11111111	1	1	1	1	1	66666666/11111111	33333333/11111111	22222222/11111111	00222000/00111000	44444444/11111111	
2371	440	አላገጠ	ለገጠ	5	*	1	0	THREE_2	11111111/11111111	00000000/00000000	0	0	0	0	0	66666666/11111111	33333333/11111111	22222222/11111111	00222000/00111000	44444444/11111111	
2372	445	አላጠቀ	ለጠቀ	5	m	0	0	THREE_2	11111111/11111111	00000111/00000111	0	0	1	1	1	66666666/11111111	33333333/11111111	22222222/11111111	00222000/00111000	44444444/11111111	
2373	492	አመሃኘ	መከኘ	5	*	1	0	THREE_3													
2374	492	አመካኘ	መከኘ	5	*	1	0	THREE_3													
2375	465	አማረረ	መረረ	5	m	1	0	THREE_1	11111111/11111111		1	1	1	1	1	66666666/11111111	33333333/11111111	66666666/11111111	00666000/00111000	44444444/11111111	
2376	472	አማረጠ	መረጠ	5	m	1	0	THREE_1	11111111/11111111		2	2	2	2	2	66666666/11111111	33333333/11111111	66666666/11111111	00666000/00111000	44444444/11111111	
2377	473	አማሰለ	መሰለ	5	m	1	0	THREE_1													
2378	489	አማከረ	መከረ	5	m	1	0	THREE_1													
2379	494	አማዘዘ	መዘዘ	5	m	1	0	THREE_1													
2380	858	አምባቀቀ	በቀቀ	5	*	1	0	THREE_2													
2381	521	አሞካሸ	ሞከሸ	5	*	1	0	THREE_8													
2382	535	አሟለጨ	ሟለጨ	5	m	1	0	THREE_12													
2383	530	አሟገተ	ሞገተ	5	m	1	0	THREE_7													
2384	559	አረባየ	ረበየ	5	*	1	0	THREE_3													
2385	552	አራመደ	ረመደ	5	*	1	0	THREE_2	11111111/11111111	11111111/11111111	1	1	1	1	1	66666666/11111111	33333333/11111111	22222222/11111111	00222000/00111000	44444444/11111111	
2386	556	አራቀቀ	ረቀቀ	5	m	1	0	THREE_1	11111111/11111111	11111111/11111111	1	1	1	1	1	66666666/11111111	33333333/11111111	66666666/11111111	00666000/00111000	44444444/11111111	
2387	557	አራበሸ	ረበሸ	5	m	1	0	THREE_2													
2388	560	አራከሰ	ረከሰ	5	m	1	0	THREE_1	11111111/11111111	11111111/11111111	1	1	1	1	1	66666666/11111111	33333333/11111111	66666666/11111111	00666000/00111000	44444444/11111111	
2389	562	አራኮተ	ረኮተ	5	*	1	0	THREE_10													
2390	563	አራወጠ	ረወጠ	5	*	1	0	THREE_2													
2391	564	አራዘመ	ረዘመ	5	m	1	0	THREE_1	11111111/11111111	00000100/00000100	0	0	1	0	0	66666666/11111111	33333333/11111111	66666666/11111111	00666000/00111000	44444444/11111111	
2392	567	አራገበ	ረገበ	5	*	1	0	THREE_2													
2393	573	አራገፈ	ረገፈ	5	m	1	0	THREE_1													
2394	574	አራጠበ	ረጠበ	5	m	1	0	THREE_1													
2395	590	አሰላቸ	ሰለቸ	5	m	1	0	THREE_3	11111111/11111111	11111111/11111111	1	1	1	1	1	88888888/11111111	22222222/11111111	22222222/11111111	00222000/00111000	22222222/11111111	
2396	606	አሰራጨ	ሰረጨ	5	*	1	0	THREE_3													
2397	612	አሰቃየ	ሰቀየ	5	*	1	0	THREE_3													
2398	625	አሰናኘ	ሰነኘ	5	*	1	0	THREE_3													
2399	626	አሰናዳ	ሰነዳ	5	*	1	0	THREE_4													
2400	581	አሳለለ	ሰለለ	5	m	1	0	THREE_2													
2401	583	አሳለመ	ሰለመ	5	*	1	0	THREE_2													
2402	609	አሳቀለ	ሰቀለ	5	m	1	0	THREE_1													
2403	610	አሳቀቀ	ሰቀቀ	5	m	1	0	THREE_1													
2404	615	አሳበረ	ሰበረ	5	m	1	0	THREE_1	11111111/11111111	00000000/00000000	0	0	0	0	0	66666666/11111111	33333333/11111111	66666666/11111111	00666000/00111000	44444444/11111111	
2405	616	አሳበቀ	ሰበቀ	5	m	1	0	THREE_1													
2406	617	አሳበበ	ሰበበ	5	*	1	0	THREE_2													
2407	622	አሳተፈ	ሰተፈ	5	*	1	0	THREE_2													
2408	629	አሳነፈ	ሰነፈ	5	m	1	0	THREE_1													
2409	630	አሳከረ	ሰከረ	5	m	1	0	THREE_1													
2410	646	አሳፈረ	ሰፈረ	5	m	1	0	THREE_1	11111111/11111111	11111111/11111111	1	1	1	1	1	66666666/11111111	33333333/11111111	66666666/11111111	00666000/00111000	44444444/11111111	
2411	666	አሻረከ	ሸረከ	5	*	1	0	THREE_2													
2412	675	አሻተተ	ሸተተ	5	m	1	0	THREE_1													
2413	683	አሻኮተ	ሸኮተ	5	*	1	0	THREE_10													
2414	757	አቀናጀ	ቀነጀ	5	*	1	0	THREE_3													
2415	758	አቀናጣ	ቀነጣ	5	m	1	0	THREE_4													
2416	707	አቃለለ	ቀለለ	5	m	1	0	THREE_1													
2417	716	አቃለደ	ቀለደ	5	m	1	0	THREE_2													
2418	717	አቃለጠ	ቀለጠ	5	m	1	0	THREE_1													
2419	721	አቃመሰ	ቀመሰ	5	m	1	0	THREE_1													
2420	731	አቃረጠ	ቀረጠ	5	m	1	0	THREE_1													
2421	749	አቃበረ	ቀበረ	5	m	1	0	THREE_1													
2422	761	አቃወሰ	ቀወሰ	5	m	1	0	THREE_2													
2423	775	አቃጠረ	ቀጠረ	5	m	1	0	THREE_1													
2424	726	አቅራራ	ቀረረ	5	*	1	0	THREE_3													
2425	811	አቆራኘ	ቆረኘ	5	*	1	0	THREE_8													
2426	807	አቋረሰ	ቆረሰ	5	m	1	0	THREE_6													
2427	826	አቋደሰ	ቆደሰ	5	*	1	0	THREE_7													
2428	833	አበላሸ	በለሸ	5	*	1	0	THREE_3													
2429	846	አበራየ	በረየ	5	*	1	0	THREE_3													
2430	853	አበሳጨ	በሰጨ	5	*	1	0	THREE_3													
2431	837	አባለጠ	በለጠ	5	m	1	0	THREE_1													
2432	839	አባረረ	በረረ	5	m	1	0	THREE_1													
2433	845	አባረዘ	በረዘ	5	m	1	0	THREE_2													
2434	903	አቧደነ	ቦደነ	5	*	1	0	THREE_7													
2435	920	አታረፈ	ተረፈ	5	m	1	0	THREE_1													
2436	958	አቻኮለ	ቸኮለ	5	m	1	0	THREE_10													
2437	972	አናቆረ	ነቆረ	5	*	1	0	THREE_10													
2438	974	አናበበ	ነበበ	5	*	1	0	THREE_2													
